category,prior
B-A-*-*-UB-*,0.004072681704260651
B-FA-*-*-*-*,0.017230576441102756
B-FZ-*-*-APR-*,0.020676691729323307
B-FZ-*-*-V-*,0.016604010025062656
B-Mod-*-*-*-*,0.08677944862155389
B-WF-ABZ-*-FZW-*,0.002819548872180451
B-WF-ABZ-*-IDZ-*,0.004072681704260651
B-WF-AK-RE-FEL-*,0.02600250626566416
B-WF-AK-RE-FKR-*,0.0009398496240601503
B-WF-AK-RS-ERx-*,0.040413533834586464
B-WF-AK-RS-FA-*,0.02443609022556391
B-WF-AK-RS-FBL-*,0.010964912280701754
B-WF-AK-RS-FLL-SB,0.014724310776942355
B-WF-AK-RS-FPD-*,0.009398496240601503
B-WF-AK-RS-FPP-*,0.06296992481203008
B-WF-AK-RS-FVE-*,0.002819548872180451
B-WF-HP-*-IB-*,0.011278195488721804
B-WF-HP-*-IFHE-*,0.012531328320802004
B-WF-HP-*-IFSE-*,0.02474937343358396
B-WF-HP-*-IW-*,0.0003132832080200501
B-WF-HP-*-IZ-*,0.0021929824561403508
B-WF-HP-*-PS-IBD,0.05200501253132832
B-WF-HP-*-PS-IR,0.012531328320802004
B-WF-HP-*-PS-IW,0.003132832080200501
B-WF-Mot-*-FVW-*,0.004699248120300752
B-WF-Mot-*-IAV-*,0.0021929824561403508
B-WF-Mot-*-IDW-*,0.02819548872180451
B-WF-Mot-*-IEM-*,0.018796992481203006
B-WF-RA-*-ARP-*,0.006892230576441102
B-WF-RA-*-FP-*,0.018483709273182956
B-WF-RA-*-FU-*,0.0037593984962406013
B-WF-RA-*-N-ARFa,0.005952380952380952
B-WF-RA-*-N-ARFr,0.0006265664160401002
K-A-*-*-A-*,0.004699248120300752
K-A-*-*-UB-*,0.002819548872180451
K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),0.0012531328320802004
K-E-*-*-ECS-*| Sorge um andere Person (EC),0.009398496240601503
K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),0.005325814536340852
K-FA-*-*-A-*,0.004072681704260651
K-FZ-*-*-F-*,0.013784461152882205
K-FZ-*-*-NPR-*,0.013471177944862155
K-WF-ABZ-*-Erw-*,0.008458646616541353
K-WF-ABZ-*-Ziel-*,0.014411027568922305
K-WF-AKP-*-Abl-*,0.013157894736842105
K-WF-AKP-*-EG-*,0.04887218045112782
K-WF-AKP-*-Nachf-*,0.03226817042606516
K-WF-AKP-*-PDar-*,0.05200501253132832
K-WF-AKP-*-PDef-*,0.03477443609022556
K-WF-AKP-*-PPers-*,0.016290726817042606
K-WF-AKP-*-RBL-*,0.021616541353383457
K-WF-AKP-*-Zust-*,0.05607769423558897
K-WF-HP-*-BerUH-*,0.004072681704260651
K-WF-HP-*-Erf-*,0.0015664160401002505
K-WF-HP-*-MErf-*,0.0009398496240601503
K-WF-HP-*-NegRH-*,0.005325814536340852
K-WF-HP-*-PosR-*,0.03414786967418546
K-WF-HP-*-PosRH-*,0.019736842105263157
K-WF-Mot-*-GV-*,0.0043859649122807015
K-WF-Mot-*-VW-*,0.010025062656641603
K-WF-RA-*-RF-*,0.006265664160401002
K-WF-RA-*-RP-*,0.007518796992481203
