,B-A-*-*-UB-*,B-FA-*-*-*-*,B-FZ-*-*-APR-*,B-FZ-*-*-V-*,B-Mod-*-*-*-*,B-WF-ABZ-*-FZW-*,B-WF-ABZ-*-IDZ-*,B-WF-AK-RE-FEL-*,B-WF-AK-RE-FKR-*,B-WF-AK-RS-ERx-*,B-WF-AK-RS-FA-*,B-WF-AK-RS-FBL-*,B-WF-AK-RS-FLL-SB,B-WF-AK-RS-FPD-*,B-WF-AK-RS-FPP-*,B-WF-AK-RS-FVE-*,B-WF-HP-*-IB-*,B-WF-HP-*-IFHE-*,B-WF-HP-*-IFSE-*,B-WF-HP-*-IW-*,B-WF-HP-*-IZ-*,B-WF-HP-*-PS-IBD,B-WF-HP-*-PS-IR,B-WF-HP-*-PS-IW,B-WF-Mot-*-FVW-*,B-WF-Mot-*-IAV-*,B-WF-Mot-*-IDW-*,B-WF-Mot-*-IEM-*,B-WF-RA-*-ARP-*,B-WF-RA-*-FP-*,B-WF-RA-*-FU-*,B-WF-RA-*-N-ARFa,B-WF-RA-*-N-ARFr,K-A-*-*-A-*,K-A-*-*-UB-*,K-E-*-*-ECM-*| Mitgefühl mit anderen (EC),K-E-*-*-ECS-*| Sorge um andere Person (EC),K-E-*-*-PT-*| Empathie für Dritte* bzw. bezogen auf die vorliegende Situation (PT),K-FA-*-*-A-*,K-FZ-*-*-F-*,K-FZ-*-*-NPR-*,K-WF-ABZ-*-Erw-*,K-WF-ABZ-*-Ziel-*,K-WF-AKP-*-Abl-*,K-WF-AKP-*-EG-*,K-WF-AKP-*-Nachf-*,K-WF-AKP-*-PDar-*,K-WF-AKP-*-PDef-*,K-WF-AKP-*-PPers-*,K-WF-AKP-*-RBL-*,K-WF-AKP-*-Zust-*,K-WF-HP-*-BerUH-*,K-WF-HP-*-Erf-*,K-WF-HP-*-MErf-*,K-WF-HP-*-NegRH-*,K-WF-HP-*-PosR-*,K-WF-HP-*-PosRH-*,K-WF-Mot-*-GV-*,K-WF-Mot-*-VW-*,K-WF-RA-*-RF-*,K-WF-RA-*-RP-*
B-A-*-*-UB-*,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
B-FA-*-*-*-*,0.0,0.03636363636363636,0.0,0.01818181818181818,0.34545454545454546,0.0,0.0,0.05454545454545454,0.0,0.0,0.05454545454545454,0.0,0.0,0.12727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.10909090909090909,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.03636363636363636,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0
B-FZ-*-*-APR-*,0.0,0.0,0.015151515151515152,0.07575757575757576,0.18181818181818182,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.10606060606060606,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.045454545454545456,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.015151515151515152,0.13636363636363635,0.030303030303030304,0.0,0.0,0.0,0.0
B-FZ-*-*-V-*,0.0,0.0,0.044444444444444446,0.0,0.06666666666666667,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.13333333333333333,0.022222222222222223,0.0,0.0,0.0,0.0
B-Mod-*-*-*-*,0.0,0.0,0.05653710247349823,0.024734982332155476,0.06007067137809187,0.0,0.01060070671378092,0.03180212014134275,0.0,0.04240282685512368,0.06713780918727916,0.0035335689045936395,0.024734982332155476,0.014134275618374558,0.17667844522968199,0.0035335689045936395,0.01060070671378092,0.0035335689045936395,0.03180212014134275,0.0,0.0,0.04240282685512368,0.007067137809187279,0.0,0.0,0.0,0.03180212014134275,0.01060070671378092,0.0035335689045936395,0.03180212014134275,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0035335689045936395,0.0035335689045936395,0.0,0.0035335689045936395,0.024734982332155476,0.007067137809187279,0.01060070671378092,0.0,0.02120141342756184,0.024734982332155476,0.0176678445229682,0.014134275618374558,0.0035335689045936395,0.007067137809187279,0.0812720848056537,0.007067137809187279,0.0035335689045936395,0.0,0.0035335689045936395,0.053003533568904596,0.0035335689045936395,0.0,0.0,0.0035335689045936395,0.01060070671378092
B-WF-ABZ-*-FZW-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.0
B-WF-ABZ-*-IDZ-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
B-WF-AK-RE-FEL-*,0.0,0.0,0.011235955056179775,0.0,0.011235955056179775,0.0,0.0,0.02247191011235955,0.0,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.033707865168539325,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.0,0.033707865168539325,0.0,0.0,0.0,0.0,0.011235955056179775,0.011235955056179775,0.033707865168539325,0.0,0.011235955056179775,0.0,0.02247191011235955,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.02247191011235955,0.0,0.02247191011235955,0.21348314606741572,0.033707865168539325,0.06741573033707865,0.1348314606741573,0.0,0.02247191011235955,0.06741573033707865,0.011235955056179775,0.0,0.0,0.0,0.033707865168539325,0.033707865168539325,0.011235955056179775,0.0,0.0,0.0
B-WF-AK-RE-FKR-*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-WF-AK-RS-ERx-*,0.0,0.008,0.0,0.0,0.048,0.0,0.016,0.048,0.0,0.064,0.04,0.04,0.048,0.0,0.24,0.008,0.0,0.024,0.008,0.0,0.0,0.024,0.016,0.008,0.008,0.0,0.008,0.016,0.008,0.064,0.0,0.016,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.008,0.008,0.008,0.0,0.008,0.0,0.032,0.016,0.008,0.008,0.112,0.016,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0
